# wavelength [micron], EQE [1]
1.591783567134268829e+00,-1.554243032522936608e-16
1.596192384769539396e+00,5.300268537987670417e-17
1.600601202404809742e+00,-5.237210164998751408e-17
1.605010020040080310e+00,-1.305067701226067444e-18
1.609418837675350877e+00,2.055199590200485767e-16
1.613827655310621445e+00,-1.560866632790106925e-16
1.618236472945892013e+00,-2.666861361182408893e-17
1.622645290581162580e+00,-2.600762250705923504e-17
1.627054108216433148e+00,1.592679836227292400e-16
1.631462925851703716e+00,5.392653996298126229e-17
1.635871743486974061e+00,-5.135183472427899538e-17
1.640280561122244629e+00,-1.831519103261694107e-16
1.644689378757515197e+00,1.540755650590495824e-16
1.649098196392785765e+00,-1.540991042754677856e-16
1.653507014028056332e+00,-5.165880773477719874e-17
1.657915831663326900e+00,-1.027941983826413784e-16
1.662324649298597468e+00,1.554715143906699709e-16
1.666733466933868035e+00,5.256147348705406392e-17
1.671142284569138603e+00,-2.087191870813225179e-16
1.675551102204408949e+00,-5.259507346049169009e-17
1.679959919839679516e+00,-2.070117081397699151e-16
1.684368737474950084e+00,5.077929961630389732e-17
1.688777555110220652e+00,-1.038687515988551504e-16
1.693186372745491219e+00,4.446866665433743358e-19
1.697595190380761787e+00,-1.046266267969433987e-16
1.702004008016032355e+00,-2.068909641470714794e-16
1.706412825651302922e+00,1.034229345664247792e-16
1.710821643286573268e+00,2.067997594959636075e-16
1.715230460921843836e+00,-1.033741881147891464e-16
1.719639278557114404e+00,3.098122817129670655e-16
1.724048096192384971e+00,2.579608379853162041e-16
1.728456913827655539e+00,1.031619632882949968e-16
1.732865731462926107e+00,3.092798604646266428e-16
1.737274549098196674e+00,9.909823712377161956e-20
1.741683366733467242e+00,-7.332796382884201688e-20
1.746092184368737810e+00,-2.059961678905262758e-16
1.750501002004008155e+00,-2.058128545189380154e-16
1.754909819639278723e+00,-0.000000000000000000e+00
1.759318637274549291e+00,-1.541484374946084419e-16
1.763727454909819858e+00,-1.029248204774112109e-16
1.768136272545090426e+00,1.541902343875154548e-16
1.772545090180360994e+00,3.083009699603383646e-16
1.776953907815631561e+00,2.566792565181392920e-16
1.781362725450902129e+00,2.055124641794425507e-16
1.785771543086172697e+00,-2.012497438773934412e-19
1.790180360721443042e+00,-1.027314364385171179e-16
1.794589178356713610e+00,2.052681462546319635e-16
1.798997995991984178e+00,2.568452496795817001e-16
1.803406813627254746e+00,-2.055362379403317246e-16
1.807815631262525313e+00,-3.025056542661592907e-20
1.812224448897795881e+00,-5.157185827387581185e-17
1.816633266533066449e+00,-1.281588359880426963e-16
1.821042084168337016e+00,-1.540406173671703402e-16
1.825450901803607362e+00,1.283458150413360838e-16
1.829859719438877930e+00,-1.026510790543330878e-16
1.834268537074148497e+00,1.536882442934060056e-16
1.838677354709419065e+00,1.540659881152542540e-16
1.843086172344689633e+00,5.129200165929325229e-17
1.847494989979960200e+00,-4.300275192850958382e-20
1.851903807615230768e+00,7.710256325157111018e-17
1.856312625250501336e+00,5.162881338698739789e-17
1.860721442885771904e+00,-1.538163244413042264e-16
1.865130260521042249e+00,5.160659496765901885e-17
1.869539078156312817e+00,5.151678396001874988e-17
1.873947895791583385e+00,-7.695725560160956989e-17
1.878356713426853952e+00,7.706785119140215999e-17
